Team,Wins,Losses,WPct,Pythagorean WPct,Runs Scored,Runs Against,Batting Elo,Pitching Elo,Team Elo
Los Angeles Dodgers,83,44,0.653,0.669,703,480,1058,1046,1050
Houston Astros,81,46,0.638,0.638,688,509,1057,1029,1039
Washington Nationals,68,57,0.544,0.56,641,571,1025,1024,1024
Atlanta Braves,75,52,0.591,0.543,673,601,1050,1005,1021
Oakland Athletics,72,53,0.576,0.576,621,518,1014,1021,1018
Minnesota Twins,77,49,0.611,0.603,731,571,1032,1006,1015
Cleveland Indians,74,52,0.587,0.571,582,496,977,1034,1013
New York Mets,65,60,0.52,0.52,606,581,1028,1005,1013
New York Yankees,83,44,0.653,0.598,729,591,1045,991,1010
Chicago Cubs,67,58,0.536,0.56,601,533,984,1016,1005
St. Louis Cardinals,67,57,0.54,0.532,545,517,982,1017,1005
Boston Red Sox,67,60,0.528,0.551,718,639,1029,991,1004
Tampa Bay Rays,73,54,0.575,0.575,575,484,960,1018,997
Cincinnati Reds,59,66,0.472,0.52,558,539,962,1003,988
Arizona Diamondbacks,64,63,0.504,0.551,652,585,1023,962,984
San Diego Padres,59,66,0.472,0.472,555,588,981,983,982
San Francisco Giants,63,63,0.5,0.46,546,595,973,984,980
Los Angeles Angels,63,66,0.488,0.481,642,663,1002,961,976
Philadelphia Phillies,65,60,0.52,0.488,581,604,988,967,974
Colorado Rockies,57,69,0.452,0.46,662,729,1009,952,973
Milwaukee Brewers,64,62,0.508,0.476,595,632,984,959,968
Texas Rangers,62,65,0.488,0.48,625,667,923,990,966
Pittsburgh Pirates,52,73,0.416,0.424,573,674,1001,945,965
Kansas City Royals,45,81,0.357,0.413,530,639,945,971,962
Chicago White Sox,56,69,0.448,0.4,521,644,934,969,956
Miami Marlins,45,79,0.363,0.371,451,592,957,945,949
Toronto Blue Jays,52,76,0.406,0.453,570,637,953,946,948
Seattle Mariners,54,73,0.425,0.433,616,706,955,937,943
Baltimore Orioles,40,86,0.318,0.333,536,795,929,916,921
Detroit Tigers,37,86,0.301,0.309,432,678,881,926,910
