last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Stanton, Giancarlo,519317,18,3.1,33.3,120.6,96.5,104.4,90.4,445,144,445,10,58.8,4,22.2,10.5
Guerrero Jr., Vladimir,665489,329,6.8,31.9,118.9,89.6,93.7,87.5,451,160,418,131,39.8,27,8.2,5.9
Aquino, Aristides,606157,102,19.4,36.3,118.3,87.4,94.5,81.9,452,193,406,41,40.2,15,14.7,9.9
Sanchez, Gary,596142,269,19.3,33.8,118.3,91.2,96.1,86.5,481,209,417,112,41.6,52,19.3,11.9
Alonso, Pete,624413,376,14.6,38.6,118.3,90.7,96.4,85.6,474,190,412,155,41.9,61,16.2,9.9
Judge, Aaron,592450,213,11.2,39.4,118.1,95.7,99.1,92.0,467,192,397,120,56.3,41,19.2,10.5
Yelich, Christian,592885,374,11.2,33.2,117.9,93.1,96.7,90.4,462,184,407,182,49.1,59,15.8,10.2
Alvarez, Yordan,670541,189,14.1,39.2,117.9,92.6,96.8,87.5,474,202,409,94,50.3,35,18.5,11.2
Schwarber, Kyle,656941,337,15.0,34.4,117.6,92.4,97.3,88.6,473,195,406,167,49.9,45,13.4,8.3
Cruz, Nelson,443558,284,13.8,38.0,117.0,93.5,99.1,89.0,473,198,411,146,51.4,57,20.1,12.5
Trout, Mike,545361,354,22.2,44.1,116.6,90.7,94.9,84.2,473,233,419,154,44.3,66,18.6,11.0
Marte, Ketel,606466,465,11.5,34.2,116.3,89.9,93.4,87.7,482,174,407,187,40.2,43,9.2,7.1
Bell, Josh,605137,406,12.4,35.0,116.2,92.4,96.1,89.8,474,186,411,188,47.0,53,13.1,8.8
Garcia, Avisail,541645,338,10.3,34.3,116.2,89.8,95.1,87.2,471,167,417,135,39.9,40,11.8,8.1
Zunino, Mike,572287,160,19.9,27.5,116.1,88.8,97.0,84.1,455,179,427,61,38.1,19,11.9,6.9
Tatis Jr., Fernando,665487,227,6.9,33.5,115.9,89.6,95.8,84.3,468,164,405,100,44.1,30,13.2,8.1
Acuna Jr., Ronald,660670,416,13.8,39.2,115.9,90.4,95.5,84.7,466,187,417,193,46.4,60,14.4,9.0
Cron, C.J.,543068,329,13.0,35.0,115.9,91.0,96.3,87.3,453,188,405,146,44.8,51,15.5,10.9
Moncada, Yoan,660162,312,12.6,39.7,115.8,92.6,95.2,91.1,462,188,405,147,47.1,39,12.5,8.0
Soler, Jorge,624585,368,15.3,32.3,115.7,92.4,97.3,88.9,465,194,413,181,49.2,61,16.6,10.1
Gomez, Carlos,460576,59,16.4,30.5,115.6,83.6,91.4,77.1,408,168,399,19,33.3,7,11.9,7.1
Harper, Bryce,547180,352,12.6,37.8,115.5,91.4,97.1,85.1,466,193,412,163,46.3,51,14.5,8.4
Meadows, Austin,640457,351,16.6,37.0,115.4,90.8,95.1,86.4,447,205,400,154,43.9,43,12.3,8.2
Gallo, Joey,608336,129,20.3,36.4,115.4,93.0,101.2,78.3,467,231,419,67,52.3,34,26.4,11.4
Ozuna, Marcell,542303,324,13.5,34.3,115.3,91.8,96.8,87.6,455,182,402,157,49.8,42,13.0,9.0
