last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Betts, Mookie,605141,2019,649,459,.289,.291,-.002,.516,.526,-.010,.380,.393,-.013
Acuna Jr., Ronald,660670,2019,642,402,.282,.275,.007,.514,.537,-.023,.372,.380,-.008
Semien, Marcus,543760,2019,640,476,.272,.259,.013,.491,.443,.048,.360,.341,.019
Merrifield, Whit,593160,2019,637,488,.302,.288,.014,.472,.432,.040,.348,.333,.015
Polanco, Jorge,593871,2019,621,463,.302,.280,.022,.492,.461,.031,.363,.347,.016
Freeman, Freddie,518692,2019,619,425,.300,.284,.016,.578,.557,.021,.404,.395,.009
Albies, Ozzie,645277,2019,610,458,.286,.279,.007,.481,.462,.019,.350,.345,.005
Escobar, Eduardo,500871,2019,607,448,.271,.255,.016,.533,.463,.070,.354,.332,.022
Bogaerts, Xander,593428,2019,606,428,.310,.276,.034,.574,.473,.101,.402,.360,.042
Hoskins, Rhys,656555,2019,605,348,.238,.218,.020,.481,.410,.071,.366,.345,.021
Devers, Rafael,646240,2019,604,462,.318,.300,.018,.575,.525,.050,.391,.371,.020
Villar, Jonathan,542340,2019,604,398,.280,.249,.031,.461,.394,.067,.346,.315,.031
Bregman, Alex,608324,2019,598,418,.297,.266,.031,.575,.443,.132,.415,.370,.045
Abreu, Jose,547989,2019,597,430,.281,.280,.001,.496,.502,-.006,.343,.356,-.013
Santana, Carlos,467793,2019,596,407,.288,.266,.022,.542,.481,.061,.398,.373,.025
Alonso, Pete,624413,2019,594,364,.267,.262,.005,.593,.530,.063,.398,.384,.014
Trout, Mike,545361,2019,593,349,.290,.303,-.013,.641,.641,.000,.440,.454,-.014
Harper, Bryce,547180,2019,593,344,.255,.271,-.016,.500,.522,-.022,.367,.385,-.018
Arenado, Nolan,571448,2019,586,454,.312,.271,.041,.583,.465,.118,.392,.340,.052
