Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Justin Verlander,Houston Astros,SP,732,87.6,34.2,0.242,0.248,41,1167
Mike Clevinger,Cleveland Indians,SP,366,86.3,34.2,0.261,0.263,22,1161
Jack Flaherty,St. Louis Cardinals,SP,645,86.6,32.8,0.273,0.286,18,1151
Gerrit Cole,Houston Astros,SP,688,87.3,35.8,0.261,0.248,-19,1149
Sonny Gray,Cincinnati Reds,SP,614,87.4,33.9,0.269,0.286,-9,1146
Max Scherzer,Washington Nationals,SP,596,87.5,35.1,0.267,0.25,-32,1142
Zack Britton,New York Yankees,RP,225,87.5,35.1,0.262,0.279,56,1139
Kirby Yates,San Diego Padres,RP,224,86.5,36,0.235,0.228,-18,1139
Yusmeiro Petit,Oakland Athletics,SP,273,86.7,34.1,0.246,0.261,27,1137
Aroldis Chapman,New York Yankees,RP,219,85.6,30.1,0.245,0.258,35,1136
Taylor Rogers,Minnesota Twins,RP,247,86.8,30.1,0.274,0.261,-9,1127
Felipe Vazquez,Pittsburgh Pirates,RP,219,86.8,38.3,0.254,0.271,24,1125
Giovanny Gallegos,St. Louis Cardinals,RP,239,89.1,38.4,0.224,0.254,-22,1124
Aaron Bummer,Chicago White Sox,RP,213,88.3,35.9,0.246,0.266,18,1124
Brandon Workman,Boston Red Sox,RP,252,87.4,30.6,0.21,0.257,13,1124
Adam Ottavino,New York Yankees,RP,251,84.9,27.3,0.274,0.267,-4,1120
Shane Bieber,Cleveland Indians,SP,750,90.3,42.4,0.275,0.295,9,1119
Jacob deGrom,New York Mets,SP,707,86.4,33.2,0.267,0.264,-35,1117
Tyler Clippard,Cleveland Indians,RP,207,84.4,29,0.25,0.257,52,1113
Tyler Glasnow,Tampa Bay Rays,SP,183,86.8,30.3,0.227,0.232,22,1112
Eduardo Rodriguez,Boston Red Sox,SP,732,85.7,28,0.316,0.309,12,1110
Josh Hader,Milwaukee Brewers,RP,242,90.9,43.6,0.253,0.241,-36,1109
Will Harris,Houston Astros,RP,204,87.2,32.1,0.253,0.275,27,1109
Liam Hendriks,Oakland Athletics,SP,288,88.3,37.7,0.244,0.229,20,1107
Scott Oberg,Colorado Rockies,RP,223,87.2,36.6,0.252,0.293,-42,1106
Pedro Baez,Los Angeles Dodgers,RP,248,87.3,27.6,0.242,0.246,-9,1102
Oliver Perez,Cleveland Indians,RP,150,86.1,28.4,0.304,0.264,-19,1102
Ryan Pressly,Houston Astros,RP,197,87.2,33.3,0.245,0.255,-41,1102
Patrick Corbin,Washington Nationals,SP,709,89.3,39.9,0.277,0.297,-5,1101
Mike Soroka,Atlanta Braves,SP,613,87.5,37.6,0.268,0.301,-28,1099
Mike Minor,Texas Rangers,SP,744,86.3,29.9,0.291,0.291,7,1097
Jose Alvarez,Philadelphia Phillies,RP,221,85.6,31.9,0.317,0.293,-7,1096
Jimmie Sherfy,Arizona Diamondbacks,RP,48,83.6,24.2,0.304,0.302,93,1093
Brandon Kintzler,Chicago Cubs,RP,207,88.6,40.4,0.257,0.286,-9,1093
Seth Lugo,New York Mets,SP,274,87.9,32.7,0.245,0.241,-8,1090
Steve Cishek,Chicago Cubs,RP,237,84.1,25,0.282,0.298,-18,1090
Nick Wittgren,Cleveland Indians,RP,208,91.7,47.9,0.277,0.317,9,1090
Zac Gallen,Arizona Diamondbacks,SP,285,86.4,33.5,0.283,0.288,19,1088
Stephen Strasburg,Washington Nationals,SP,722,87.5,33.2,0.268,0.259,39,1085
Jose Leclerc,Texas Rangers,RP,254,85.9,28.3,0.302,0.264,4,1083
Hansel Robles,Los Angeles Angels,RP,246,87.8,30.1,0.267,0.268,13,1082
Ken Giles,Toronto Blue Jays,RP,177,88.4,36,0.265,0.248,16,1081
Carlos Martinez,St. Louis Cardinals,RP,166,86,32,0.271,0.289,19,1079
Reyes Moronta,San Francisco Giants,RP,245,87.2,35.7,0.276,0.289,-25,1078
