Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Justin Verlander,Houston Astros,SP,756,87.4,33.4,0.241,0.246,59,1194.6311584553928
Jack Flaherty,St. Louis Cardinals,SP,674,86.4,32,0.271,0.283,69,1194.6311584553928
Gerrit Cole,Houston Astros,SP,713,87.2,35.4,0.255,0.242,41,1184.6311584553928
Mike Clevinger,Cleveland Indians,SP,391,86.4,34.9,0.261,0.265,20,1182.6311584553928
Sonny Gray,Cincinnati Reds,SP,636,87.1,33.3,0.267,0.284,37,1178.6311584553928
Max Scherzer,Washington Nationals,SP,618,87.6,35.4,0.265,0.248,-1,1174.6311584553928
Zack Britton,New York Yankees,RP,232,87.4,34.9,0.258,0.279,69,1173.6311584553928
Kirby Yates,San Diego Padres,RP,235,86.6,35.9,0.231,0.222,17,1170.6311584553928
Yusmeiro Petit,Oakland Athletics,SP,277,86.7,34,0.245,0.26,50,1162.6311584553928
Taylor Rogers,Minnesota Twins,RP,252,86.6,29.3,0.273,0.258,35,1157.6311584553928
Felipe Vazquez,Pittsburgh Pirates,RP,228,86.8,37.1,0.252,0.264,48,1157.6311584553928
Giovanny Gallegos,St. Louis Cardinals,SP,245,88.7,37.1,0.219,0.249,2,1155.6311584553928
Shane Bieber,Cleveland Indians,SP,776,90.3,42.3,0.273,0.291,37,1154.6311584553928
Aroldis Chapman,New York Yankees,RP,223,85.7,29.9,0.249,0.261,62,1152.6311584553928
Josh Hader,Milwaukee Brewers,SP,251,90.7,42.7,0.247,0.235,21,1149.6311584553928
Jacob deGrom,New York Mets,SP,731,86.2,32.5,0.265,0.26,25,1148.6311584553928
Brandon Workman,Boston Red Sox,RP,252,87.4,30.6,0.21,0.257,35,1146.6311584553928
Eduardo Rodriguez,Boston Red Sox,SP,756,85.7,28.3,0.315,0.306,57,1144.6311584553928
Tyler Clippard,Cleveland Indians,RP,218,84.4,28.7,0.246,0.252,71,1144.6311584553928
Aaron Bummer,Chicago White Sox,RP,228,88.5,37.1,0.249,0.263,24,1141.6311584553928
Liam Hendriks,Oakland Athletics,SP,297,88.3,38,0.236,0.225,34,1138.6311584553928
Will Harris,Houston Astros,RP,211,87,31.4,0.249,0.268,59,1137.6311584553928
Adam Ottavino,New York Yankees,RP,262,84.9,27.5,0.276,0.271,-9,1132.6311584553928
Scott Oberg,Colorado Rockies,RP,223,87.2,36.6,0.252,0.293,-19,1128.6311584553928
Mike Minor,Texas Rangers,SP,774,86.2,29.4,0.289,0.291,51,1128.6311584553928
Oliver Perez,Cleveland Indians,RP,158,86.3,30,0.299,0.263,43,1128.6311584553928
Pedro Baez,Los Angeles Dodgers,RP,252,87.1,27.7,0.241,0.246,19,1127.6311584553928
Patrick Corbin,Washington Nationals,SP,733,89.4,39.8,0.28,0.3,18,1125.6311584553928
Ryan Pressly,Houston Astros,RP,197,87.2,33.3,0.245,0.255,-19,1124.6311584553928
Tyler Glasnow,Tampa Bay Rays,SP,192,87,31.4,0.234,0.238,30,1120.6311584553928
Seth Lugo,New York Mets,SP,280,87.8,32.3,0.239,0.236,31,1119.6311584553928
Jimmie Sherfy,Arizona Diamondbacks,RP,56,84.5,28.9,0.312,0.298,60,1119.6311584553928
Hansel Robles,Los Angeles Angels,SP,255,88.1,31,0.258,0.265,48,1116.6311584553928
Jose Leclerc,Texas Rangers,RP,267,85.3,28.4,0.301,0.261,46,1115.6311584553928
Nick Wittgren,Cleveland Indians,RP,212,91.8,48.2,0.279,0.315,28,1114.6311584553928
Lance Lynn,Texas Rangers,SP,796,87.2,33.1,0.298,0.291,38,1114.6311584553928
Ken Giles,Toronto Blue Jays,RP,185,88.4,36.2,0.262,0.251,33,1110.6311584553928
Steve Cishek,Chicago Cubs,RP,247,84.2,25.6,0.286,0.3,9,1109.6311584553928
