last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Stanton, Giancarlo,519317,18,3.1,33.3,120.6,96.5,104.4,90.4,445,144,445,10,58.8,4,22.2,10.5
Guerrero Jr., Vladimir,665489,282,7.2,32.3,118.9,90.1,94.6,87.9,451,166,418,116,41.1,26,9.2,6.7
Alonso, Pete,624413,317,13.2,37.5,118.3,91.1,96.6,86.0,474,188,413,135,43.4,53,16.7,10.1
Aquino, Aristides,606157,43,18.3,48.8,118.3,86.9,95.8,75.2,452,223,406,15,34.9,10,23.3,15.9
Sanchez, Gary,596142,228,19.1,34.2,118.3,91.7,96.3,87.0,481,207,417,98,43.0,44,19.3,12.2
Judge, Aaron,592450,161,10.4,39.8,118.1,96.9,99.4,94.7,442,185,388,93,57.8,31,19.3,10.1
Yelich, Christian,592885,324,11.5,33.3,117.9,93.4,97.3,90.5,462,185,406,158,49.2,53,16.4,10.8
Schwarber, Kyle,656941,287,15.7,32.8,117.6,92.5,97.0,89.6,473,195,406,144,50.5,38,13.2,8.2
Trout, Mike,545361,313,21.3,45.0,116.6,90.9,95.0,83.5,473,233,417,139,45.3,61,19.5,11.5
Marte, Ketel,606466,405,11.5,34.8,116.3,90.0,93.4,87.7,482,174,407,162,40.0,35,8.6,6.7
Garcia, Avisail,541645,298,10.9,33.9,116.2,89.9,94.6,88.1,471,165,412,123,41.3,35,11.7,8.0
Bell, Josh,605137,343,12.2,36.4,116.2,92.6,96.3,89.5,474,188,412,161,47.8,46,13.4,9.0
Zunino, Mike,572287,144,19.9,27.8,116.1,89.3,98.3,84.3,455,179,428,56,38.9,18,12.5,7.3
Tatis Jr., Fernando,665487,227,6.9,33.5,115.9,89.6,95.8,84.3,468,164,405,100,44.1,30,13.2,8.1
Cruz, Nelson,443558,223,14.2,38.1,115.9,94.2,99.7,89.6,473,204,411,119,53.4,49,22.0,13.1
Cron, C.J.,543068,290,12.6,34.5,115.9,90.8,96.2,87.0,453,186,406,127,44.3,42,14.5,10.4
Acuna Jr., Ronald,660670,368,14.2,38.0,115.9,90.7,95.3,85.8,466,187,419,173,47.0,55,14.9,9.5
Soler, Jorge,624585,316,14.5,33.2,115.6,92.4,96.9,88.8,465,194,412,153,48.4,52,16.5,10.0
Gomez, Carlos,460576,59,16.4,30.5,115.6,83.6,91.4,77.1,408,168,399,19,33.3,7,11.9,7.1
Harper, Bryce,547180,310,12.6,36.8,115.5,91.7,97.3,85.9,466,191,415,144,46.5,46,14.8,8.5
Meadows, Austin,640457,283,17.0,36.0,115.4,90.7,95.1,86.2,447,201,400,121,42.8,31,11.0,7.2
Gallo, Joey,608336,129,20.3,36.4,115.4,93.0,101.2,78.3,467,231,419,67,52.3,34,26.4,11.4
Ozuna, Marcell,542303,262,14.3,32.1,115.3,92.2,97.6,88.0,455,182,402,130,51.4,37,14.1,9.7
Palka, Daniel,594953,27,15.3,11.1,115.2,84.0,94.2,84.4,333,106,,7,25.9,1,3.7,1.9
Tellez, Rowdy,642133,192,14.7,38.0,115.2,90.4,94.2,86.7,449,192,404,76,39.8,23,12.0,7.7
Dozier, Hunter,641531,284,16.6,37.0,115.1,92.3,95.1,90.2,453,210,399,126,44.4,32,11.3,7.4
Ohtani, Shohei,660271,234,6.1,33.3,115.1,92.6,96.5,89.1,447,163,407,107,45.7,30,12.8,8.6
Reyes, Franmil,614177,272,10.5,32.4,115.0,92.5,97.4,87.9,457,181,408,131,48.2,38,14.0,9.0
Devers, Rafael,646240,418,9.7,35.2,115.0,92.8,96.9,89.8,458,181,401,205,49.2,40,9.6,7.3
Bour, Justin,571506,97,10.4,28.9,115.0,89.1,95.4,85.3,435,166,407,41,43.2,11,11.3,6.9
Nunez, Renato,600524,319,19.3,30.7,114.8,90.8,95.4,88.6,450,196,411,138,43.4,37,11.6,7.8
Markakis, Nick,455976,318,7.5,33.6,114.7,91.0,92.1,91.1,418,156,392,139,43.7,10,3.1,2.4
Alfaro, Jorge,595751,208,2.6,31.7,114.7,90.8,96.6,86.7,456,147,401,96,46.2,19,9.1,5.5
Davis, J.D.,605204,233,9.1,37.3,114.7,91.7,95.0,89.7,449,162,403,111,48.7,26,11.2,7.9
Sandoval, Pablo,467055,209,10.4,37.8,114.7,89.4,95.2,85.8,444,167,400,93,44.9,24,11.5,8.1
Mazara, Nomar,608577,310,10.8,34.5,114.6,89.3,94.2,86.3,505,173,422,123,40.2,34,11.0,7.7
Kang, Jung Ho,628356,113,13.7,32.7,114.5,92.2,97.1,87.9,457,180,409,52,46.0,13,11.5,7.0
Anderson, Brian,605119,340,11.0,32.1,114.4,89.8,94.7,86.4,446,172,397,156,45.9,31,9.1,6.1
Camargo, Johan,622666,182,10.3,32.4,114.4,86.1,88.5,85.9,416,155,391,54,29.7,4,2.2,1.7
Chapman, Matt,656305,351,15.7,25.4,114.4,92.5,97.0,90.5,453,183,405,167,48.7,44,12.5,8.5
Naquin, Tyler,571980,194,12.6,34.0,114.4,90.1,92.5,90.4,433,174,412,73,37.8,19,9.8,7.1
Schoop, Jonathan,570731,254,11.7,36.6,114.3,87.7,94.0,83.7,467,171,410,97,38.3,22,8.7,5.9
Smith Jr, Dwight,596105,247,6.7,30.8,114.3,89.0,92.4,87.5,442,157,404,99,40.1,11,4.5,3.2
Hosmer, Eric,543333,378,1.9,28.8,114.3,90.2,93.8,88.2,431,135,401,168,44.4,25,6.6,4.8
Lowe, Nate,663993,74,17.9,43.2,114.3,91.4,95.0,89.2,418,202,405,33,44.6,9,12.2,7.8
Lowe, Brandon,664040,176,18.9,38.6,114.3,90.7,95.7,83.8,455,214,401,79,44.9,26,14.8,8.5
Diaz, Yandy,650490,248,5.6,33.9,114.3,91.6,96.9,89.2,428,162,389,110,44.4,26,10.5,7.6
Donaldson, Josh,518626,311,13.3,33.8,114.2,92.9,98.4,88.9,441,184,408,159,51.1,48,15.4,9.3
Springer, George,543807,289,10.8,34.9,114.2,90.5,95.3,87.0,467,177,411,130,47.1,40,13.8,9.4
Jimenez, Eloy,650391,234,9.5,30.3,114.1,90.5,96.1,87.0,471,165,417,106,45.3,27,11.5,7.6
Baez, Javier,595879,349,8.1,36.7,114.1,91.1,96.1,86.6,460,174,405,152,43.9,46,13.2,9.0
Alvarez, Yordan,670541,144,15.1,40.3,114.1,92.6,96.1,87.7,474,204,415,70,49.3,27,18.8,11.8
Renfroe, Hunter,592669,258,18.3,33.3,114.1,90.3,95.3,86.3,470,201,413,107,41.5,33,12.8,8.0
Franco, Maikel,596748,287,14.5,22.6,114.1,89.5,94.0,88.8,433,162,411,113,39.4,21,7.3,5.7
Moreland, Mitch,519048,154,12.4,33.8,114.0,90.9,96.5,85.8,436,188,391,73,47.4,21,13.6,9.2
Gonzalez, Carlos,471865,95,1.7,28.4,114.0,87.1,92.0,84.6,404,134,382,33,34.7,6,6.3,3.6
Moncada, Yoan,660162,262,13.1,38.2,113.9,93.0,95.7,91.5,462,188,405,126,48.1,33,12.6,8.1
Mancini, Trey,641820,356,7.9,34.8,113.9,90.0,96.2,84.6,438,175,403,148,41.6,38,10.7,7.4
Diaz, Elias,553869,201,10.1,28.9,113.9,88.3,89.0,90.2,398,147,398,71,35.3,5,2.5,1.9
Candelario, Jeimer,600869,191,15.8,30.9,113.9,87.4,91.4,85.4,449,186,392,63,33.0,12,6.3,3.9
Cron, Kevin,605196,33,17.7,48.5,113.8,92.0,98.9,80.0,453,227,409,17,51.5,9,27.3,14.1
Bote, David,623520,189,7.6,33.9,113.8,90.5,93.8,88.7,469,160,407,73,38.6,11,5.8,3.5
