last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Betts, Mookie,605141,2019,593,414,.284,.288,-.004,.502,.523,-.021,.376,.394,-.018
Acuna Jr., Ronald,660670,2019,583,371,.296,.283,.013,.537,.557,-.020,.386,.391,-.005
Semien, Marcus,543760,2019,579,427,.273,.254,.019,.481,.431,.050,.359,.337,.022
Merrifield, Whit,593160,2019,578,439,.299,.289,.010,.474,.437,.037,.349,.337,.012
Polanco, Jorge,593871,2019,562,423,.296,.278,.018,.498,.465,.033,.362,.348,.014
Freeman, Freddie,518692,2019,562,385,.307,.290,.017,.576,.560,.016,.407,.399,.008
Bogaerts, Xander,593428,2019,556,394,.308,.272,.036,.561,.466,.095,.396,.355,.041
Albies, Ozzie,645277,2019,550,419,.294,.285,.009,.494,.473,.021,.355,.349,.006
Devers, Rafael,646240,2019,550,421,.329,.304,.025,.592,.529,.063,.402,.374,.028
Escobar, Eduardo,500871,2019,549,401,.271,.256,.015,.528,.455,.073,.354,.331,.023
Villar, Jonathan,542340,2019,548,359,.276,.247,.029,.447,.378,.069,.341,.308,.033
Harper, Bryce,547180,2019,547,314,.254,.269,-.015,.492,.521,-.029,.365,.384,-.019
Hoskins, Rhys,656555,2019,545,316,.238,.221,.017,.476,.406,.070,.365,.344,.021
Trout, Mike,545361,2019,545,322,.297,.308,-.011,.664,.657,.007,.449,.461,-.012
Bregman, Alex,608324,2019,540,372,.279,.264,.015,.555,.446,.109,.404,.372,.032
Abreu, Jose,547989,2019,536,385,.273,.277,-.004,.496,.510,-.014,.338,.356,-.018
Santana, Carlos,467793,2019,535,363,.290,.261,.029,.543,.467,.076,.401,.369,.032
Eaton, Adam,594809,2019,534,387,.290,.276,.014,.436,.403,.033,.353,.340,.013
Marte, Ketel,606466,2019,534,410,.319,.295,.024,.569,.488,.081,.398,.364,.034
Alonso, Pete,624413,2019,530,320,.271,.264,.007,.603,.535,.068,.404,.389,.015
Arenado, Nolan,571448,2019,529,410,.302,.264,.038,.557,.450,.107,.378,.332,.046
Hosmer, Eric,543333,2019,527,381,.285,.267,.018,.450,.414,.036,.332,.317,.015
Machado, Manny,592518,2019,527,372,.266,.263,.003,.470,.446,.024,.342,.337,.005
Martinez, J.D.,502110,2019,526,362,.308,.312,-.004,.558,.579,-.021,.392,.410,-.018
Soler, Jorge,624585,2019,526,319,.258,.266,-.008,.544,.554,-.010,.375,.388,-.013
Kepler, Max,596146,2019,526,384,.256,.260,-.004,.537,.449,.088,.366,.343,.023
Mancini, Trey,641820,2019,524,361,.276,.271,.005,.530,.489,.041,.368,.357,.011
Bellinger, Cody,641355,2019,523,361,.319,.330,-.011,.672,.648,.024,.441,.446,-.005
Goldschmidt, Paul,502671,2019,523,334,.258,.258,.000,.471,.500,-.029,.343,.357,-.014
Bryant, Kris,592178,2019,522,338,.286,.247,.039,.529,.455,.074,.388,.352,.036
Chapman, Matt,656305,2019,522,354,.259,.253,.006,.529,.493,.036,.367,.357,.010
Choo, Shin-Soo,425783,2019,521,321,.270,.261,.009,.474,.462,.012,.364,.360,.004
Donaldson, Josh,518626,2019,521,314,.267,.266,.001,.532,.523,.009,.387,.388,-.001
