last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Cashner, Andrew,488768,410,9.1,31.7,120.6,89.5,94.5,86.3,441,167,410,169,41.2,35,8.5,6.4
Nova, Ivan,467100,487,9.4,33.1,118.9,88.3,93.8,84.5,431,156,392,188,38.8,36,7.4,5.8
Armenteros, Rogelio,660494,52,14.2,32.7,118.9,86.0,91.4,82.7,398,173,398,15,28.8,2,3.8,2.7
Adams, Chance,664856,75,14.2,29.3,118.7,88.2,91.3,85.2,411,176,390,24,32.0,7,9.3,6.8
Hamels, Cole,430935,316,9.5,29.1,118.3,89.3,95.0,85.5,454,159,411,129,40.8,21,6.6,4.5
German, Domingo,593334,326,14.3,36.8,118.3,88.7,93.5,84.3,441,186,393,124,38.0,27,8.3,5.6
Morin, Mike,573046,118,11.6,37.3,118.3,86.2,90.4,82.8,412,172,388,31,26.7,6,5.1,4.3
Venters, Jonny,458924,25,5.4,24.0,118.3,96.1,100.0,96.9,454,149,441,14,58.3,4,16.0,8.2
Cobb, Alex,502171,50,6.4,42.0,118.1,94.9,104.1,87.6,438,184,411,30,60.0,13,26.0,21.7
Samardzija, Jeff,502188,411,16.2,35.0,117.9,89.0,93.2,85.0,440,192,402,154,37.6,31,7.5,5.4
Wheeler, Zack,554430,441,10.6,33.3,117.6,87.0,90.8,84.4,447,164,407,148,33.6,28,6.3,4.4
Stripling, Ross,548389,220,10.3,23.2,117.4,88.1,93.8,85.7,415,156,401,85,38.6,16,7.3,5.0
Chatwood, Tyler,543022,165,4.7,35.8,117.0,87.7,90.9,86.5,418,147,390,62,37.6,6,3.6,2.4
Alexander, Tyler,641302,98,14.0,31.6,116.8,90.2,95.7,86.6,450,176,403,38,38.8,7,7.1,5.5
Kolarek, Adam,592473,143,-0.1,23.1,116.8,86.8,92.4,84.7,402,119,378,50,35.0,9,6.3,4.5
Fillmyer, Heath,641571,58,14.8,34.5,116.6,93.6,95.2,94.6,396,177,375,29,50.9,6,10.3,8.3
Richard, Clayton,453385,157,5.3,30.6,116.4,91.7,94.0,91.5,439,141,398,78,49.7,15,9.6,7.5
Rogers, Taylor,573124,142,7.3,26.8,116.4,87.0,92.2,83.8,419,149,406,40,29.4,11,7.7,4.8
Stanek, Ryne,592773,160,17.9,39.4,116.3,89.9,94.9,83.2,442,212,415,64,40.3,16,10.0,6.3
Freeland, Kyle,607536,314,9.9,34.4,116.3,89.4,93.1,87.2,451,171,406,127,40.6,30,9.6,7.0
Biagini, Joe,607352,166,9.2,36.7,116.3,87.7,91.9,83.8,432,163,402,53,31.9,12,7.2,5.0
Flaherty, Jack,656427,360,15.5,34.7,116.3,87.0,92.0,83.5,431,185,399,124,34.4,29,8.1,5.1
Marquez, German,608566,486,6.0,33.7,116.3,90.2,93.7,87.6,469,158,406,210,43.2,37,7.6,5.3
Suarez, Jose,660761,170,15.1,34.1,116.2,86.5,92.3,82.7,451,180,395,58,34.1,14,8.2,5.6
Gray, Jon,592351,427,7.5,31.6,116.2,88.9,92.9,87.0,470,151,407,186,43.6,25,5.9,3.9
Colome, Alex,517008,127,8.5,35.4,116.1,90.3,93.7,87.7,408,168,399,50,39.4,11,8.7,5.9
Plutko, Adam,592644,239,20.1,36.8,116.0,88.0,92.4,84.4,449,206,395,71,29.7,17,7.1,5.8
Webb, Tyler,643778,111,14.8,32.4,116.0,85.5,90.6,81.4,414,169,391,33,30.3,6,5.4,3.6
Jackson, Luke,592426,149,1.2,27.5,115.9,87.3,92.2,85.3,446,129,412,50,33.6,11,7.4,4.4
Davis, Wade,451584,109,13.9,39.4,115.9,88.9,91.3,87.9,449,171,421,36,33.0,8,7.3,4.8
Wood, Alex,622072,82,12.9,40.2,115.9,88.3,92.5,83.7,463,184,400,29,35.4,6,7.3,5.6
Anderson, Tanner,664196,79,8.1,27.8,115.9,88.6,97.6,84.5,427,148,400,34,43.0,9,11.4,8.6
McGee, Jake,459429,97,15.9,44.3,115.8,88.5,93.6,84.1,443,204,402,36,37.1,9,9.3,6.6
Bettis, Chad,518452,219,2.2,26.5,115.6,89.6,95.9,87.4,425,123,396,90,41.1,12,5.5,4.2
Zimmermann, Jordan,519455,263,14.6,36.1,115.6,89.3,94.5,85.6,458,182,402,104,39.5,25,9.5,7.2
Covey, Dylan,592229,183,10.2,37.7,115.5,88.8,93.5,84.4,437,174,394,71,38.8,19,10.4,7.8
Darvish, Yu,506433,349,11.8,33.0,115.5,87.8,93.6,83.5,459,174,405,131,37.5,27,7.7,4.7
Peacock, Brad,502748,233,14.2,31.3,115.5,90.0,93.0,87.9,481,182,412,96,41.6,18,7.7,5.1
Givens, Mychal,571710,112,14.8,42.9,115.5,88.5,94.0,82.8,458,192,409,43,38.4,12,10.7,6.1
Hess, David,605276,249,17.9,43.8,115.4,91.2,96.0,86.0,443,209,398,121,48.6,35,14.1,10.2
Thornton, Trent,663423,368,16.5,39.1,115.4,87.7,92.9,81.5,447,195,400,135,36.7,26,7.1,4.9
Strop, Pedro,467008,79,9.4,27.8,115.4,90.6,97.2,87.4,454,160,415,31,39.7,9,11.4,7.1
Kimbrel, Craig,518886,35,14.1,54.3,115.3,89.9,91.5,87.6,422,207,396,12,35.3,7,20.0,10.9
Jimenez, Eduardo,621592,36,14.4,33.3,115.3,91.8,93.1,90.8,386,187,377,13,36.1,4,11.1,8.2
Means, John,607644,321,18.2,37.1,115.3,87.5,90.9,83.9,446,194,400,104,32.4,21,6.5,4.8
Ryu, Hyun-Jin,547943,429,5.6,31.0,115.3,85.3,91.3,81.1,438,148,403,133,31.0,19,4.4,3.3
Berrios, Jose,621244,465,14.2,32.5,115.2,86.5,91.4,82.9,441,172,405,148,31.8,30,6.5,4.5
Martin, Chris,455119,119,7.9,33.6,115.2,88.4,92.1,85.8,443,168,405,47,39.5,12,10.1,6.8
Eovaldi, Nathan,543135,110,10.3,28.2,115.2,91.2,94.3,89.5,438,157,383,45,40.9,10,9.1,6.1
Cole, Gerrit,543037,347,13.7,34.6,115.2,87.7,92.6,82.7,443,181,398,127,36.6,23,6.6,3.7
Cahill, Trevor,502239,283,9.9,29.0,115.1,89.1,94.3,86.1,438,166,396,107,39.8,23,8.1,6.0
Soto, Gregory,642397,157,8.4,32.5,115.1,89.9,93.6,86.8,441,172,389,61,40.1,16,10.2,7.5
Kikuchi, Yusei,579328,442,12.4,31.2,115.1,88.4,92.7,86.5,454,165,396,159,37.2,37,8.4,6.3
Roark, Tanner,543699,380,14.0,38.4,115.1,88.6,92.0,85.7,462,178,406,138,38.3,30,7.9,5.4
Corbin, Patrick,571578,400,9.1,33.0,115.0,89.4,95.5,84.5,462,175,420,163,40.8,38,9.5,6.0
Weaver, Luke,596133,169,13.9,35.5,115.0,89.2,94.3,86.5,446,180,402,70,41.4,11,6.5,4.3
Gallegos, Giovanny,606149,120,19.5,33.3,115.0,89.1,92.5,86.1,438,194,408,47,39.5,11,9.2,5.2
Fairbanks, Peter,664126,24,11.7,50.0,115.0,91.0,96.4,83.7,423,202,406,12,50.0,4,16.7,8.7
Waguespack, Jacob,621097,139,13.2,36.0,114.9,89.6,93.8,87.0,426,177,405,55,39.6,12,8.6,6.3
Johnson, Brian,598271,83,13.6,31.3,114.9,89.1,92.3,86.5,423,189,384,31,37.3,8,9.6,7.3
Miller, Shelby,571946,157,13.7,34.4,114.9,89.6,93.0,86.8,472,188,423,61,39.1,12,7.6,5.5
Milone, Tommy,543548,232,15.2,42.2,114.8,86.3,92.2,78.8,458,198,406,71,32.6,27,11.6,8.5
Beede, Tyler,595881,258,11.4,32.2,114.8,91.1,95.4,87.3,433,181,409,116,45.0,23,8.9,6.1
Straily, Dan,573185,179,21.6,41.3,114.7,91.4,94.6,89.2,447,226,404,87,48.6,29,16.2,12.3
