Rk,Tm,Lg,G,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,NYY,AL,141,92,49,0.652,W 2,5.8,4.6,1.2,-0.2,0.9,85-56,7,48-16,16-14,16-11,8-Dec,53-22,39-27,2-Jul,18-14,63-33,29-16,40-29,52-20,2-Aug,8-Dec,20-10
2,LAD,NL,142,92,50,0.648,W 4,5.5,3.9,1.6,0.1,1.8,93-49,-1,21-9,22-11,42-22,8-Jul,55-18,37-32,3-Jun,25-19,65-31,27-19,42-30,50-20,4-Jun,9-Nov,20-10
3,HOU,AL,140,90,50,0.643,L 1,5.5,4,1.5,-0.2,1.3,90-50,0,19-13,18-13,42-15,9-Nov,51-17,39-33,3-Sep,22-17,61-41,29-9,34-25,56-25,3-Jul,8-Dec,20-10
4,MIN,AL,139,86,53,0.619,L 1,5.9,4.7,1.2,-0.5,0.7,84-55,2,19-12,37-20,23-11,10-Jul,39-29,47-24,6-Apr,19-11,69-37,17-16,27-32,59-21,2-Aug,14-6,19-11
5,ATL,NL,140,86,54,0.614,W 6,5.4,4.7,0.7,0,0.7,79-61,7,38-21,20-13,16-14,6-Dec,44-27,42-27,5-Nov,25-13,65-44,21-10,44-34,42-20,2-Aug,16-4,21-9
6,TBR,AL,141,82,59,0.582,W 1,4.7,4,0.6,-0.2,0.4,80-61,2,34-29,20-13,15-12,13-5,39-32,43-27,8-Jun,19-15,53-37,29-22,32-33,50-26,4-Jun,9-Nov,19-11
7,OAK,AL,139,80,58,0.58,W 2,5.1,4.3,0.9,-0.2,0.7,81-57,-1,17-16,20-6,32-27,9-Nov,45-26,35-32,8-May,22-18,55-46,25-12,32-26,48-32,4-Jun,13-7,19-11
8,CLE,AL,140,81,59,0.579,W 1,4.7,4,0.7,-0.5,0.2,80-60,1,18-16,41-22,16-13,8-Jun,43-28,38-31,7-Apr,13-16,53-42,28-17,20-32,61-27,5-May,11-Sep,16-14
9,WSN,NL,138,78,60,0.565,L 1,5.4,4.6,0.8,0,0.8,80-58,-2,35-26,16-13,18-16,5-Sep,41-29,37-31,6-Mar,16-19,58-45,20-15,35-40,43-20,3-Jul,15-5,21-9
10,STL,NL,139,78,61,0.561,L 1,4.6,4.1,0.5,0.1,0.6,77-62,1,16-14,38-25,15-11,11-Sep,45-26,33-35,3-Jul,21-18,64-47,14-14,33-35,45-26,3-Jul,15-5,20-10
11,CHC,NL,138,75,63,0.543,W 2,4.9,4.3,0.6,0.2,0.7,77-61,-2,17-17,30-26,16-12,8-Dec,47-24,28-39,6-Apr,19-20,62-46,13-17,36-37,39-26,4-Jun,9-Nov,18-12
12,BOS,AL,139,75,64,0.54,W 1,5.8,5.1,0.7,-0.3,0.4,78-61,-3,31-31,21-10,16-15,8-Jul,35-35,40-29,5-Sep,20-17,55-40,20-24,24-38,51-26,3-Jul,8-Dec,16-14
13,PHI,NL,138,72,66,0.522,L 1,4.9,4.9,-0.1,0.1,0.1,68-70,4,28-30,20-12,14-19,5-Oct,41-31,31-35,5-Jun,17-14,57-45,15-21,41-39,31-27,5-May,8-Dec,15-15
14,ARI,NL,140,73,67,0.521,W 3,5.2,4.6,0.6,0.2,0.8,77-63,-4,15-12,12-Nov,33-37,14-6,36-33,37-34,8-Aug,19-23,50-50,23-17,33-35,40-32,1-Sep,8-Dec,19-11
15,MIL,NL,138,71,67,0.514,W 1,4.7,4.9,-0.3,0.3,0.1,65-73,6,17-11,34-29,15-Dec,12-Aug,40-30,31-37,6-Jul,22-15,51-44,20-23,43-38,28-29,5-May,11-Sep,15-15
16,NYM,NL,139,71,68,0.511,W 1,4.9,4.7,0.2,0.2,0.3,72-67,-1,34-32,18-Dec,13-Oct,15-5,37-27,34-41,9-May,20-21,57-48,14-20,38-51,33-17,6-Apr,10-Oct,18-12
