"","State","bA","bB","bC","pA","pB","pC"
"1","000 0",2.21377203295453e-07,-0.000296865072955334,0.0789981174484671,-5.96040843240296e-07,0.00102965882379865,-0.428677456716246
"2","000 1",3.15227173765121e-07,-0.000499747846295141,0.188049636913529,-5.48195249386461e-07,0.000994736415754605,-0.440316012299946
"3","000 2",1.52362071005558e-07,-0.000204810590464265,0.0528634614819263,-1.83617422578659e-07,0.000278334220743727,-0.0936352745152899
"4","001 0",7.27821679445776e-07,-0.00130251443120147,0.551289804013827,-2.36403073649958e-06,0.00446971463646781,-2.11638673940303
"5","001 1",7.27821679445776e-07,-0.00130251443120147,0.551289804013827,-2.36403073649958e-06,0.00446971463646781,-2.11638673940303
"6","001 2",-1.50694417924545e-08,0.000207184217517309,-0.199359891046214,-3.02666279511764e-06,0.00579650786756717,-2.76825166972992
"7","010 0",2.61046023577069e-07,-0.000362274460395479,0.0953652310260308,-1.43595479191397e-06,0.0027654503217325,-1.33113760940778
"8","010 1",5.53653007596743e-07,-0.000846811756063641,0.275490852855689,-5.24787758226596e-07,0.000756784785479711,-0.24733609065028
"9","010 2",5.13662436994394e-07,-0.000795165801775206,0.28032720099945,3.65324706676728e-07,-0.000948918127635361,0.58011789176956
"10","011 0",1.15721691095357e-06,-0.00174437039930583,0.552919498532183,-1.84912981722044e-06,0.00350193958985478,-1.68397007254277
"11","011 1",1.15721691095357e-06,-0.00174437039930583,0.552919498532183,-1.84912981722044e-06,0.00350193958985478,-1.68397007254277
"12","011 2",-2.77449507736415e-08,0.000437124768839393,-0.402410846858603,1.02752617382925e-06,-0.00260970785400398,1.57206919338302
"13","100 0",1.54796526548609e-07,-0.000153020767631321,-0.00237460292604092,-1.54681640359788e-06,0.00281432806133489,-1.26405248849934
"14","100 1",7.23420678643763e-08,0.000175237912347772,-0.235146573651181,3.02855370459312e-07,-0.00077332510848005,0.475123959428975
"15","100 2",1.80504432887714e-07,-0.000121112383786217,-0.0556713854319333,-4.98731959267825e-07,0.000793316343913138,-0.292879863953801
"16","101 0",-6.5652608191059e-08,0.000512640096794257,-0.453377478081027,-1.87298411545385e-06,0.00342689089532422,-1.56438399909058
"17","101 1",-6.5652608191059e-08,0.000512640096794257,-0.453377478081027,-1.87298411545385e-06,0.00342689089532422,-1.56438399909058
"18","101 2",7.61570867574328e-07,-0.00112198414165137,0.35235990228231,-4.66969493717597e-07,0.000218031597025058,0.238172967430995
"19","110 0",3.61350449950685e-07,-0.000387214195178931,0.0374120033673206,1.94113191846233e-06,-0.00419374586199293,2.25108559341006
"20","110 1",4.05542188167082e-07,-0.000499553549724193,0.0738662487878704,-1.93874959654749e-06,0.00336594709890059,-1.44450425476194
"21","110 2",-2.29164709442188e-07,0.000877164074572415,-0.627621419056774,-1.72185022627979e-06,0.00313990096982862,-1.40602993634167
"22","111 0",5.10341090158115e-07,-0.000402775032308384,-0.0713097091775579,-5.73279938012177e-06,0.0112367855782337,-5.46018605634594
"23","111 1",5.10341090158115e-07,-0.000402775032308384,-0.0713097091775579,-5.73279938012177e-06,0.0112367855782337,-5.46018605634594
"24","111 2",-7.5386016978071e-08,0.000961614972254066,-0.883036416071309,-7.96424600467377e-06,0.0152263599526783,-7.25297619637925
