Team,Wins,Losses,WPct,Pythagorean WPct,Runs Scored,Runs Against,Batting Elo,Pitching Elo,Team Elo
Houston Astros,95,51,0.651,0.651,823,589,1083,1024,1043
Los Angeles Dodgers,94,52,0.644,0.658,792,554,1053,1032,1039
Washington Nationals,79,64,0.552,0.573,747,645,1034,1034,1034
St. Louis Cardinals,81,63,0.562,0.562,654,579,998,1037,1024
Atlanta Braves,90,56,0.616,0.562,772,665,1022,1020,1021
Oakland Athletics,85,60,0.586,0.586,756,611,1043,1007,1019
Cleveland Indians,85,61,0.582,0.582,677,570,975,1039,1018
New York Yankees,95,51,0.651,0.603,828,662,1035,1006,1015
Minnesota Twins,89,55,0.618,0.604,828,645,1026,1004,1011
New York Mets,74,70,0.514,0.514,690,669,1027,995,1006
Boston Red Sox,76,69,0.524,0.552,800,718,1012,993,999
Chicago Cubs,77,67,0.535,0.556,696,618,991,1003,999
Tampa Bay Rays,87,59,0.596,0.575,670,567,971,1011,998
Arizona Diamondbacks,75,70,0.517,0.552,726,652,1021,972,988
Cincinnati Reds,67,78,0.462,0.503,637,634,951,997,982
San Diego Padres,67,77,0.465,0.451,618,682,963,988,980
Milwaukee Brewers,76,68,0.528,0.479,669,695,985,974,978
Philadelphia Phillies,75,69,0.521,0.5,689,701,997,962,974
San Francisco Giants,70,75,0.483,0.448,617,686,975,972,973
Pittsburgh Pirates,63,82,0.434,0.434,686,785,1024,944,970
Los Angeles Angels,67,79,0.459,0.466,707,762,988,953,964
Texas Rangers,72,74,0.493,0.473,702,749,904,990,962
Chicago White Sox,64,80,0.444,0.41,607,739,939,965,957
Colorado Rockies,61,84,0.421,0.434,732,853,987,941,956
Kansas City Royals,53,92,0.365,0.4,606,757,954,950,951
Miami Marlins,51,93,0.354,0.375,536,705,968,937,947
Toronto Blue Jays,56,89,0.386,0.434,619,716,933,948,943
Seattle Mariners,59,86,0.407,0.421,684,810,952,927,935
Baltimore Orioles,46,98,0.319,0.347,614,879,929,923,925
Detroit Tigers,43,100,0.301,0.315,516,801,894,912,906
